name,price,rating,image_path
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,"data/raw/raw_images\Foolproof Preserving A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More.jpg"
Chase Me (Paris Nights #2),25.27,5,data/raw/raw_images\Chase Me (Paris Nights #2).jpg
Black Dust,34.53,5,data/raw/raw_images\Black Dust.jpg
Birdsong: A Story in Pictures,54.64,3,data/raw/raw_images\Birdsong A Story in Pictures.jpg
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,data/raw/raw_images\America's Cradle of Quarterbacks Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana.jpg
Aladdin and His Wonderful Lamp,53.13,3,data/raw/raw_images\Aladdin and His Wonderful Lamp.jpg
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,data/raw/raw_images\Worlds Elsewhere Journeys Around Shakespeareâs Globe.jpg
Wall and Piece,44.18,4,data/raw/raw_images\Wall and Piece.jpg
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,data/raw/raw_images\The Four Agreements A Practical Guide to Personal Freedom.jpg
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,data/raw/raw_images\The Five Love Languages How to Express Heartfelt Commitment to Your Mate.jpg
The Elephant Tree,23.82,5,data/raw/raw_images\The Elephant Tree.jpg
The Bear and the Piano,36.89,1,data/raw/raw_images\The Bear and the Piano.jpg
Sophie's World,15.94,5,data/raw/raw_images\Sophie's World.jpg
Penny Maybe,33.29,3,data/raw/raw_images\Penny Maybe.jpg
Maude (1883-1993):She Grew Up with the country,18.02,2,data/raw/raw_images\Maude (1883-1993)She Grew Up with the country.jpg
"In a Dark, Dark Wood",19.63,1,"data/raw/raw_images\In a Dark, Dark Wood.jpg"
Behind Closed Doors,52.22,4,data/raw/raw_images\Behind Closed Doors.jpg
You can't bury them all: Poems,33.63,2,data/raw/raw_images\You can't bury them all Poems.jpg
Slow States of Collapse: Poems,57.31,3,data/raw/raw_images\Slow States of Collapse Poems.jpg
Reasons to Stay Alive,26.41,2,data/raw/raw_images\Reasons to Stay Alive.jpg
Private Paris (Private #10),47.61,5,data/raw/raw_images\Private Paris (Private #10).jpg
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,data/raw/raw_images\#HigherSelfie Wake Up Your Life. Free Your Soul. Find Your Tribe..jpg
Without Borders (Wanderlove #1),45.07,2,data/raw/raw_images\Without Borders (Wanderlove #1).jpg
When We Collided,31.77,1,data/raw/raw_images\When We Collided.jpg
"We Love You, Charlie Freeman",50.27,5,"data/raw/raw_images\We Love You, Charlie Freeman.jpg"
Untitled Collection: Sabbath Poems 2014,14.27,4,data/raw/raw_images\Untitled Collection Sabbath Poems 2014.jpg
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,"data/raw/raw_images\Unseen City The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness.jpg"
Unicorn Tracks,18.78,3,data/raw/raw_images\Unicorn Tracks.jpg
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,"data/raw/raw_images\Unbound How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink.jpg"
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,data/raw/raw_images\Tsubasa WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2).jpg
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,data/raw/raw_images\Throwing Rocks at the Google Bus How Growth Became the Enemy of Prosperity.jpg
This One Summer,19.49,4,data/raw/raw_images\This One Summer.jpg
Thirst,17.27,5,data/raw/raw_images\Thirst.jpg
The Torch Is Passed: A Harding Family Story,19.09,1,data/raw/raw_images\The Torch Is Passed A Harding Family Story.jpg
The Secret of Dreadwillow Carse,56.13,1,data/raw/raw_images\The Secret of Dreadwillow Carse.jpg
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,"data/raw/raw_images\The Pioneer Woman Cooks Dinnertime Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!.jpg"
The Past Never Ends,56.5,4,data/raw/raw_images\The Past Never Ends.jpg
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,data/raw/raw_images\The Natural History of Us (The Fine Art of Pretending #2).jpg
